project,training_mode,size,run_id,run_name,state,url,step,timestamp,runtime,train_loss,val_loss
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,21900,1762445044.5807838,5136.98375582695,0.8921711444854736,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,21950,1762445055.5880463,5147.991018295288,0.8850650787353516,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,22000,1762445066.537649,5158.9406208992,0.8961033225059509,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,22050,1762445078.2538445,5170.656816482544,0.8996142745018005,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,22100,1762445089.2162082,5181.619180202484,0.8774157762527466,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,22150,1762445100.3941343,5192.797106266022,0.883240282535553,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,22200,1762445111.8644073,5204.267379283905,0.8948673605918884,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,22250,1762445122.860481,5215.263453006744,0.8675519824028015,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,22300,1762445133.6186955,5226.021667480469,0.8590941429138184,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,22350,1762445145.8426769,5238.245648860931,0.8844733238220215,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,22400,1762445158.441663,5250.844635009766,1.1329582929611206,1.2030379204907886
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,22450,1762445172.6692867,5265.072258710861,0.8697490692138672,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,22500,1762445183.6327727,5276.035744667053,0.8907735347747803,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,22550,1762445194.4900274,5286.892999410629,0.891127347946167,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,22600,1762445206.0381186,5298.441090583801,0.8927125930786133,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,22650,1762445217.039596,5309.442568063736,0.882717490196228,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,22700,1762445227.821227,5320.224199056625,0.863808274269104,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,22750,1762445239.7232647,5332.12623667717,0.8892521262168884,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,22800,1762445251.1677127,5343.570684671402,0.9072030186653137,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,22850,1762445262.1030314,5354.506003379822,0.8716204762458801,
